Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Florida,2014,Michael Frazier II,39,30.6,12.4,3.5,1.1,1.1,0.2,1.2,0.461,0.842,0.447,G,N,76,194,0.852466048,0.153366803,-1.438730902,-0.069675838,0.114894268,-0.336302054,0.990779246,1.006209129,1.161881993,3.1074928
Indiana,2013,Cody Zeller,36,29.5,16.5,8.1,1.3,1,1.3,2.3,0.562,0.757,0,PF,Y,84,240,1.217582197,0.623687469,0.250530656,1.173111451,0.36147202,0.81599006,0.913792539,0.137742853,-0.797798297,3.064130828
Michigan State,2014,Gary Harris,35,32.3,16.7,4,2.7,1.8,0.4,1.7,0.429,0.81,0.352,SG,Y,76,210,0.710555623,0.607693647,0.597407123,1.921319404,-0.124837557,0.621369766,-0.428036505,0.510718501,-0.162029082,3.011421389
Miami (FL),2013,Durand Scott,33,34.6,13.1,4,2.6,1.5,0.1,2,0.453,0.752,0.353,G,N,77,203,1.311693031,0.788971071,-0.154412841,1.287857413,-0.466951152,0.727080422,0.73265287,0.299253765,-0.113386857,2.95859688
Kansas,2012,Travis Releford,39,30.9,8.5,4.2,1.8,1.2,0.2,0.9,0.498,0.654,0.325,G,N,78,210,-0.083490812,1.238375484,-0.511947103,0.520052445,0.346227021,-1.207804994,1.226146569,-0.953780355,-0.039576911,2.949811332
Kansas,2015,Frank Mason III,36,33.5,12.6,3.9,3.9,1.4,0.1,2.1,0.441,0.786,0.429,G,N,71,185,1.232548119,0.991502247,0.861881556,0.930386124,-0.78336663,1.60945318,-0.032989685,0.26074775,1.088486768,2.939743068
Villanova,2015,Darrun Hilliard II,35,28.8,14.3,3.1,2.1,1.8,0.3,1.2,0.44,0.796,0.387,SF,Y,78,205,0.829836802,-1.552421949,1.247507637,1.191389644,-0.935775441,-0.43825049,-0.798127412,1.656294884,0.778590532,2.855545187
San Diego State,2011,Kawhi Leonard,36,32.6,15.5,10.6,2.5,1.4,0.6,2.1,0.444,0.759,0.291,SF,Y,79,230,0.714376086,1.54270133,1.237318493,1.735055234,-0.579435167,1.189993242,-0.38494272,-0.242671802,-0.013125326,2.819282885
Florida State,2012,Deividas Dulkys,35,24.5,7,2.6,1.2,1.3,0.5,1.6,0.423,0.8,0.377,G,N,77,196,-0.520823634,-0.419070031,-0.942373967,0.856556968,2.885225175,-0.015484679,-0.176864415,0.602107152,0.505916892,2.80615882
Michigan,2014,Caris LeVert,37,34,12.9,4.3,2.9,1.2,0.3,1.7,0.439,0.767,0.408,G,N,79,200,1.006170051,0.694049772,-0.123640937,0.156770636,0.71234446,0.574516009,0.295410254,0.125154885,0.505531942,2.797275054
