Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Iowa State,2014,Naz Long,36,20.3,7.1,1.6,1.1,0.2,0.1,0.4,0.432,0.643,0.4,G,N,76,210,-0.776796385,-1.130755246,-1.438730902,-2.107694106,-0.482555925,-1.793610956,0.074156483,-1.331521465,0.370896034,-5.029390555
Northern Iowa,2015,Matt Bohannon,35,26,5.7,1.7,0.9,0.6,0,0.4,0.406,0.769,0.391,G,N,76,195,-1.437495074,-1.354921397,-1.354385303,-1.039843315,-1.405451895,-1.858805081,-0.832355129,0.024219653,0.239218765,-5.302208615
Baylor,2012,A.J. Walton,38,20.3,3.8,2.8,2.8,1.3,0.1,2,0.317,0.746,0.189,G,N,73,184,-1.453800322,-0.211889341,0.205431003,0.856556968,-0.500105697,0.665841214,-2.159786606,0.026641909,-1.46625301,-5.36904631
Arizona,2015,Kaleb Tarczewski,38,26,9.3,5.2,0.3,0.4,0.6,1.4,0.572,0.699,0,C,N,84,245,-0.760127266,-1.221409633,-1.288697985,-1.011299794,-1.397151574,-0.539163866,-0.422830911,0.340869663,-0.706202584,-5.562353296
Georgetown,2013,Mikael Hopkins,32,20.1,5.9,2.9,1.3,0.9,1.1,2,0.409,0.621,0,F,N,81,239,-1.448578356,-1.387320722,-0.395931543,-0.374165739,1.460871774,0.978716765,-1.606579411,-0.233676166,-0.801075552,-5.765172478
Northern Iowa,2015,Marvin Singleton,35,25,4.7,4.9,0.7,0.3,0.1,0.9,0.528,0.644,0.143,F,N,78,237,-1.548084582,-0.864415763,-0.650011246,-2.073863234,-1.299753197,-1.160047842,-0.151957292,-0.411932031,-0.114997052,-5.954966555
Pittsburgh,2011,Nasir Robinson,31,24.1,9.4,4.9,1.3,0.5,0.1,1.7,0.548,0.526,0,F,N,77,255,-0.539449453,-1.50064921,-0.783986063,-0.103975049,-0.851256531,0.747812343,1.586396469,-1.442757641,-1.590663186,-5.974153007
Duke,2012,Andre Dawkins,34,22.4,8.4,2.1,0.6,0.4,0.1,0.8,0.4,0.739,0.392,SG,N,77,219,-1.208218891,-1.00565056,-1.92772311,-1.464023377,-0.438866729,-1.292244223,-1.281717167,-0.332237512,0.184335052,-6.181858071
North Carolina,2011,Larry Drew II,21,22.8,4.4,2.3,3.9,1.1,0,1.8,0.384,0.677,0.207,G,N,74,180,-1.371480617,-0.532970891,1.692810146,0.081084276,-1.126460766,1.201988402,-1.146692134,-0.725460983,-1.917233238,-6.248392609
Virginia,2014,Anthony Gill,37,19.8,8.6,4,0.4,0.3,0.5,1.1,0.587,0.627,0,F,N,80,230,-0.40348843,-1.592386676,-1.248375568,-1.845207828,-0.463523582,-0.668215256,0.591867469,-0.457320424,-1.552885059,-6.303104843
Virginia,2014,Justin Anderson,37,21.5,7.8,3.2,1.5,0.4,0.8,1.4,0.407,0.716,0.294,SG,N,78,225,-1.87819381,-0.565783741,-1.021373469,-1.165390458,1.622888238,-0.683506743,-1.121906209,-1.791012827,-1.223058231,-6.460323765
Michigan State,2012,Branden Dawson,31,20.6,8.4,4.5,0.9,0.9,0.8,1.4,0.577,0.594,0,SF,N,79,220,-1.349252871,-0.88756325,-0.881863292,-0.466628263,0.206010481,-0.336931508,1.793724411,-2.823053799,-2.529551317,-6.601246392
Iowa State,2014,Matt Thomas,36,21.2,5.5,2.1,1.1,0.6,0.2,0.5,0.367,0.667,0.336,G,N,76,195,-1.268649195,-0.792828391,-1.438730902,-1.201908209,0.114894268,-1.611447343,-1.980342811,-1.049584107,-0.706191228,-6.711893233
Miami (FL),2013,Rion Brown,36,22.2,6.4,2,0.8,0.4,0.1,0.6,0.367,0.745,0.292,G,N,78,211,-0.910646656,-1.36722316,-1.513245839,-1.958616483,-0.466951152,-1.680884846,-1.4366417,0.196842477,-1.484244176,-7.259841844
Miami (FL),2013,Reggie Johnson,26,21.3,6.7,7,0.8,0.4,0.9,2.2,0.38,0.678,0.1,C,N,82,292,-1.430785933,-1.24109342,-0.420238553,-0.749268649,-1.007522045,0.813489217,-1.61686074,-0.723316499,-0.642351535,-7.279258557
Kansas,2011,Josh Selby,26,20.4,7.9,2.2,2.2,0.8,0,2,0.373,0.757,0.362,PG,Y,74,183,-0.889375297,-1.044349083,-1.89699103,-1.166960574,-1.16105091,-0.79141689,-1.503870802,-0.378072665,-0.500536949,-7.749790421
Florida,2014,Kasey Hill,32,22,5.5,2,3.1,1.2,0.2,1.6,0.407,0.663,0.143,G,N,73,182,-1.268649195,-0.860413762,0.02248017,0.156770636,0.114894268,0.392352397,-0.716035553,-1.096573666,-3.954282503,-7.994162002

,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
