Team,Year,Rank,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight
Michigan State,2015,23,Travis Trice,39,33.6,15.3,3.2,5.1,1,0.2,1.8,0.397,0.715,0.369,G,0,72,170
UCLA,2013,24,Travis Wear,32,28.9,10.9,5.2,0.5,0.7,1,1.4,0.493,0.815,0.308,SF,0,82,225
UCLA,2014,20,Travis Wear,34,23.9,7.2,3.2,1.4,0.7,0.7,0.4,0.53,0.833,0.44,SF,0,82,225
Pittsburgh,2011,4,Tray Woodall,34,21.6,6.4,2.3,3.4,0.8,0.1,1.5,0.364,0.728,0.293,G,0,72,190
Pittsburgh,2013,20,Tray Woodall,33,28.6,11.5,2.6,5.1,1.2,0.2,2.2,0.462,0.781,0.369,G,0,72,190
Marquette,2013,15,Trent Lockett,35,26.6,7,5.1,1.8,0.7,0.4,1.9,0.415,0.752,0.333,SG,0,77,210
VCU,2014,24,Treveon Graham,35,28.3,15.8,7,2,0.9,0.2,1.8,0.437,0.694,0.337,G,0,78,220
VCU,2015,25,Treveon Graham,33,29.4,16.2,7.1,1.6,0.6,0.3,1.1,0.428,0.691,0.381,G,0,78,220
Syracuse,2014,14,Trevor Cooney,34,32.1,12.1,2.1,1.1,1.9,0.1,0.8,0.404,0.841,0.375,G,0,76,195
Michigan,2013,10,Trey Burke,39,35.3,18.6,3.2,6.7,1.6,0.5,2.2,0.463,0.801,0.384,PG,1,73,185
Kentucky,2015,1,Trey Lyles,36,23,8.7,5.2,1.1,0.5,0.4,1.1,0.488,0.735,0.138,PF,1,82,250
Miami (FL),2013,5,Trey McKinney Jones,36,30.3,9.2,3.4,1.6,0.8,0,0.9,0.413,0.851,0.393,SG,0,77,200
Texas,2011,8,Tristan Thompson,36,30.9,13.1,7.8,1.3,0.9,2.4,1.8,0.546,0.487,0,C,1,81,238
Cincinnati,2014,15,Troy Caupain,34,31.3,9.6,3.6,3.6,1.2,0.2,2.1,0.444,0.788,0.408,G,0,75,200
Indiana,2012,16,Troy Williams,32,27.6,13,7.4,2,1,0.5,2.2,0.54,0.742,0.462,F,0,79,206
Xavier,2011,20,Tu Holloway,32,38.4,19.7,5,5.4,1.4,0.1,3.4,0.424,0.87,0.345,G,0,72,190
Syracuse,2014,14,Tyler Ennis,34,35.7,12.9,3.4,5.5,2.1,0.2,1.7,0.411,0.765,0.353,PG,1,75,175
Utah State,2011,19,Tyler Newbold,34,29.3,6.8,4.4,2.8,0.7,0.2,0.9,0.411,0.765,0.345,G,0,77,210
Duke,2013,6,Tyler Thornton,36,22,3.6,2.3,2.2,1.3,0.1,1.1,0.406,0.68,0.392,G,0,74,190
Duke,2014,8,Tyler Thornton,35,21.3,3.1,1.8,2.4,1.3,0,0.7,0.427,0.857,0.45,G,0,74,190
Kentucky,2015,1,Tyler Ulis,37,23.8,5.6,1.8,3.6,1,0.1,1,0.406,0.808,0.429,G,0,69,155
North Carolina,2011,7,Tyler Zeller,37,28.1,15.7,7.2,0.6,0.7,1.2,1.4,0.547,0.763,0,C,0,84,253
North Carolina,2012,4,Tyler Zeller,38,28.2,16.3,9.6,0.9,0.9,1.5,1.9,0.553,0.808,0,C,1,84,253
Kansas,2011,2,Tyrel Reed,38,28.7,9.7,3.1,1.7,1.5,0.2,0.9,0.408,0.798,0.379,G,0,75,193
Notre Dame,2011,5,Tyrone Nash,34,28.8,9.5,5.9,2.6,0.3,0.6,1.6,0.487,0.689,0.5,F,0,80,232
Kansas,2011,2,Tyshawn Taylor,36,27.1,9.3,1.9,4.6,1,0.3,2.7,0.479,0.719,0.38,PG,0,75,185
Kansas,2012,6,Tyshawn Taylor,39,33.4,16.6,2.3,4.8,1.3,0.2,3.5,0.477,0.688,0.382,PG,1,75,185
Duke,2015,4,Tyus Jones,39,33.9,11.8,3.5,5.6,1.5,0.1,1.9,0.417,0.889,0.379,PG,1,73,190
Marquette,2012,11,Vander Blue,35,25.7,8.4,4.5,2.6,1.1,0.2,2.2,0.413,0.708,0.258,SG,0,76,200
Marquette,2013,15,Vander Blue,34,33,14.8,3.2,1.8,1,0,2.3,0.454,0.756,0.303,SG,0,76,200
Washington,2011,23,Venoy Overton,31,21,6,2.6,3.3,1.2,0.3,1.5,0.425,0.658,0.25,G,0,72,185
Florida,2011,15,Vernon Macklin,37,24.5,11.6,5.4,0.8,0.4,0.7,1.7,0.593,0.451,0,PF,1,82,227
Indiana,2013,4,Victor Oladipo,36,28.4,13.6,6.3,2.1,2.2,0.8,2.3,0.599,0.746,0.441,SG,1,76,210
Louisville,2013,2,Wayne Blackshear,39,20.1,7.6,3.1,0.6,0.9,0.3,0.6,0.423,0.694,0.324,G,0,77,215
Louisville,2015,17,Wayne Blackshear,36,31.4,11.6,4.3,1.2,1,0.6,1,0.395,0.78,0.331,G,0,77,215
Kansas,2014,10,Wayne Selden Jr.,35,29.2,9.7,2.6,2.5,0.7,0.3,1.9,0.437,0.629,0.328,G,0,77,230
Kansas,2015,10,Wayne Selden Jr.,36,29.4,9.4,2.8,2.6,0.6,0.5,2.1,0.382,0.657,0.365,G,0,77,230
Northern Iowa,2015,11,Wes Washpun,35,21.9,7.6,2.5,2.6,1,0.5,1.9,0.486,0.681,0.395,G,0,73,175
Indiana,2013,4,Will Sheehey,36,22.3,9.5,3.5,1.3,0.8,0.2,1.1,0.486,0.656,0.346,F,0,79,200
Kansas State,2011,21,Will Spradling,34,21.9,6.4,1.6,1.9,0.8,0,1.2,0.397,0.825,0.37,G,0,74,185
Kansas State,2013,12,Will Spradling,34,27.4,7.4,2.6,2.4,0.9,0.1,1,0.395,0.864,0.359,G,0,74,185
Florida,2014,1,Will Yeguete,39,23.3,4.9,5.2,1.2,0.9,0.2,1.2,0.436,0.663,0.19,F,0,80,230
Florida,2012,25,Will Yeguete,26,21.9,4.4,6.3,1,1.2,0.4,0.7,0.581,0.359,0,F,0,80,230
Florida,2013,14,Will Yeguete,31,20.9,5.5,5.8,1,1.2,0.3,1.3,0.531,0.57,0.25,F,0,80,230
Ohio State,2011,1,William Buford,36,32.4,14.4,3.9,2.9,0.8,0.3,1.8,0.462,0.843,0.442,G,0,78,220
Ohio State,2012,7,William Buford,39,33.8,14.5,5,2.7,0.8,0.2,2.2,0.419,0.832,0.358,G,0,78,220
Kentucky,2015,1,Willie Cauley-Stein,39,25.9,8.9,6.4,1,1.2,1.7,1.2,0.572,0.617,0,C,1,84,240
San Diego State,2014,13,Winston Shepard,35,26.6,11.6,4.9,2.1,1,0.3,2.3,0.412,0.634,0.184,F,0,80,210
San Diego State,2012,22,Xavier Thames,31,33.8,10.1,3.2,4.1,1,0.2,2.5,0.402,0.828,0.308,PG,0,75,195
San Diego State,2014,13,Xavier Thames,36,31.3,17.6,2.9,3.2,1.6,0.1,1.4,0.411,0.834,0.372,PG,1,75,195
SMU,2015,18,Yanick Moreira,34,24.4,11.1,6.4,1,0.7,1.2,1.8,0.55,0.64,0,C,0,83,220
Indiana,2013,4,Yogi Ferrell,36,28.1,7.6,2.8,4.1,0.8,0.2,2.1,0.403,0.798,0.303,G,0,72,178
Indiana,2012,16,Yogi Ferrell,34,34.9,16.3,3.2,4.9,0.7,0,1.9,0.439,0.86,0.416,G,0,72,178
Notre Dame,2015,8,Zach Auguste,37,24.4,12.9,6.5,0.8,0.7,0.7,1.6,0.619,0.636,0,F,0,82,240
UCLA,2014,20,Zach LaVine,37,24.4,9.4,2.5,1.8,0.9,0.2,1.1,0.441,0.691,0.375,PG,1,77,183
